sentence,d_num,speaker,label,혐오,선정,범죄,욕설,비난,비도덕 아님,폭력,차별
나 새벽에 혼자 등산하려고~!,1605,화자1,비도덕 아님,0,0,0,0,0,1,0,0
여자 혼자? 너 그러다 성추행 당한다 ㅋ,1605,화자2,"범죄,선정",0,1,1,0,0,0,0,0
세상에 너같이 똥같은 마인드만 가진 사람들만 있는거 아니란다,1605,화자1,비난,0,0,0,0,1,0,0,0
"저 아저씨가 자꾸 나 쳐다보는데 소름끼쳐,,,",1606,화자1,혐오,1,0,0,0,0,0,0,0
으 저 찐득한 눈빛 뭐야 더럽다..,1606,화자2,혐오,1,0,0,0,0,0,0,0
진짜 우리 아빠뻘인데 딸뻘인 여자 훑어보는게 정상이냐;;,1606,화자1,혐오,1,0,0,0,0,0,0,0
남편이랑 이혼하고 싶어,1607,화자1,비도덕 아님,0,0,0,0,0,1,0,0
"여기저기서 방귀, 트름 해대는데 진심으로 토나와서 같이 못살겠음",1607,화자2,혐오,1,0,0,0,0,0,0,0
우웩 그게 사람이야 동물이야? 나같아도 비위상해서 같이 못살듯,1607,화자1,혐오,1,0,0,0,0,0,0,0
"스승의 날은 도대체 왜 있는거지,,,",1608,화자1,비도덕 아님,0,0,0,0,0,1,0,0
원래 선생들 돈이나 뇌물 받으려고 만든 날이지 뭐~,1608,화자2,비난,0,0,0,0,1,0,0,0
ㅋㅋ요즘은 못받아서 어쩌나~~ 부질없는 스승의 날이네 ㅋㅋ,1608,화자1,비난,0,0,0,0,1,0,0,0
정유라 시험관 아기라는 썰이 있던데,1609,화자1,비난,0,0,0,0,1,0,0,0
헐 최순실 너무 안닮았던데 생물학적 아빠 누구야 그럼? ㅋㅋ,1609,화자2,비난,0,0,0,0,1,0,0,0
ㅋㅋ 몰라~~최순실 행실이 그렇게 안좋은데 애 아빠를 어떻게 알겠어?^^,1609,화자1,비난,0,0,0,0,1,0,0,0
나 과외 한개 더 할까봐,1610,화자1,비도덕 아님,0,0,0,0,0,1,0,0
돈독 올랐냐? 왜케 돈에 집착해?ㅋㅋㅋ,1610,화자2,비난,0,0,0,0,1,0,0,0
너무 그러니까 너 쫌 없어보여 ;;,1610,화자2,비난,0,0,0,0,1,0,0,0
우리 반에 탈북 학생 있는데 솔직히 세금 축내고 있다고 생각하면 고운 시선으로 안보임,1611,화자1,"차별,비난",0,0,0,0,1,0,0,1
북한으로 돌아가라~,1611,화자2,비난,0,0,0,0,1,0,0,0
말투도 뭔가 조선족 같고 어딘가 지능 떨어져 보임 ㅋㅋ,1611,화자1,"차별,비난",0,0,0,0,1,0,0,1
"비싼 학비와 그렇지 못한 저질 강의,,,",1612,화자1,비난,0,0,0,0,1,0,0,0
진짜 대학 교수들 싹다 자격 검토 한번 해야된다니까;;,1612,화자2,비난,0,0,0,0,1,0,0,0
학생이랑 바람피울 시간에 강의 연구나 더 하세요 교.수.님,1612,화자1,비난,0,0,0,0,1,0,0,0
도대체 우리 학교 기숙사 통금은 왜 있는 거야?,1613,화자1,비도덕 아님,0,0,0,0,0,1,0,0
너 같이 문란한 애들 절제 시키려고 하는거지~^^,1613,화자2,비난,0,0,0,0,1,0,0,0
ㅋㅋ우리 학교 애들이 잘 못노는 찐따인거지 내가 문란한건 아님.,1613,화자1,비난,0,0,0,0,1,0,0,0
ㅋㅋ 쟤 스크류바 잘 먹네,1614,화자1,선정,0,1,0,0,0,0,0,0
아이스크림 빠는 솜씨가 아주~~ㅋㅋㅋㅋ,1614,화자2,선정,0,1,0,0,0,0,0,0
ㅋㅋㅋ 저렇게 잘 먹으니까 더 궁금해지잖아~^^,1614,화자1,선정,0,1,0,0,0,0,0,0
이번에 여자 의사 소개팅 들어옴 ㅋㅋ,1615,화자1,비도덕 아님,0,0,0,0,0,1,0,0
올~~ 한번에 잡게 소개팅날 바로 자빠뜨려라 ㅋㅋ,1615,화자2,"범죄,선정",0,1,1,0,0,0,0,0
ㅋㅋ술 좀 먹이고 바로 모텔로 직행~,1615,화자1,"범죄,선정",0,1,1,0,0,0,0,0
개고기를 왜 먹는거야..? 진짜 혐오스럽다..,1616,화자1,혐오,1,0,0,0,0,0,0,0
왜~? 닭고기처럼 쫄깃쫄깃 맛있는데?^^,1616,화자2,비도덕 아님,0,0,0,0,0,1,0,0
뒷담 까놓고 어떻게 뻔뻔한 얼굴로 다닐 수 가 있지??,1617,화자1,비난,0,0,0,0,1,0,0,0
진짜 쟤 뇌는 해부해서 연구해봐야 할듯,1617,화자2,비난,0,0,0,0,1,0,0,0
걸어다니는 정신환자 연구대상 여_어요~~,1617,화자1,비난,0,0,0,0,1,0,0,0
아싸 최저임금 올랐네~~,1618,화자1,비도덕 아님,0,0,0,0,0,1,0,0
좋아할께 아니라 생각 좀 해봐라. 최저임금 오르니까 알바를 안뽑잖아,1618,화자2,비도덕 아님,0,0,0,0,0,1,0,0
너가 안뽑히는건 외모문제겠지^^ 나는 잘 뽑히던데?^^,1618,화자1,비난,0,0,0,0,1,0,0,0
너 왜 학교수업 시간에 자냐??,1619,화자1,비도덕 아님,0,0,0,0,0,1,0,0
선생님이 못가르치니까 그렇지~ ㅋㅋ 내가 가르쳐도 그것보단 잘하겠다;;,1619,화자2,비난,0,0,0,0,1,0,0,0
ㅋㅋ그건 인정이긴 해~ 어떻게 임용고시 패스 했는지가 궁금하다,1619,화자1,비난,0,0,0,0,1,0,0,0
전라도 징글징글 하다~,1620,화자1,"비난,혐오",1,0,0,0,1,0,0,0
ㅋㅋ 아 그 홍어 먹는 애들~ ??으 냄시~~,1620,화자2,"비난,혐오",1,0,0,0,1,0,0,0
전라도 사람들은 홍어 냄새만큼 성격도 지독함,1620,화자1,"차별,비난",0,0,0,0,1,0,0,1
남자친구는 쓸데 없는 꽃은 왜 자꾸 사오는거야?,1621,화자1,비난,0,0,0,0,1,0,0,0
"ㅋㅋ맞아 차라리 돈으로 주지,, 꽃은 먹지도 못한다고,,,",1621,화자2,비난,0,0,0,0,1,0,0,0
"에휴,, 미안한데 꽃 줘도 1도 안설레고요~~",1621,화자1,비난,0,0,0,0,1,0,0,0
"내 룸메 청소 너무 안해,, 방 들어오면 냄새가 진동한다,,,",1622,화자1,비난,0,0,0,0,1,0,0,0
"윽 너한테도 냄새 베겠다,, 습관은 못고친다니까,,,",1622,화자2,비난,0,0,0,0,1,0,0,0
"걔 가까이 가면 이상한 냄새나는데 좀 역겹더라,, 씻지도 않는듯 ,,",1622,화자1,"혐오,비난",1,0,0,0,1,0,0,0
저 청소부 저렇게  힘들게 일해서 얼마 벌까??,1623,화자1,비도덕 아님,0,0,0,0,0,1,0,0
최저시급 받으면서 저렇게 일하면 나는 자살하고 싶을 듯,1623,화자2,"비난,폭력",0,0,0,0,1,0,1,0
그래서 빈곤층들이 자살 많이 하자나,1623,화자1,"비난,폭력",0,0,0,0,1,0,1,0
"명의 도용으로 경찰에 신고했는데 책임 회피만 하고 완전 실망,,,",1624,화자1,"비도덕 아님,비난",0,0,0,0,1,1,0,0
ㅋㅋ경찰들 무능한거 이제 알았어??,1624,화자2,비난,0,0,0,0,1,0,0,0
솔직히 경찰들도 성범죄 기사 나는 판국에 경찰들도 가식적이라 못믿겠음,1624,화자1,비난,0,0,0,0,1,0,0,0
이명박 징역 23년인거 들었어?,1625,화자1,비도덕 아님,0,0,0,0,0,1,0,0
"와,, 나올때 지팡이 짚고 나오겠는데? ㅋㅋㅋ",1625,화자2,비난,0,0,0,0,1,0,0,0
솔직히 이명박 욕했어도 지금 문재인보다는 훨 나았던것 같다 ㅋㅋ,1625,화자1,비난,0,0,0,0,1,0,0,0
교회 집단 감염 진짜 짜증난다. 이 시국에 예배를 왜 드리는거야?,1626,화자1,혐오,1,0,0,0,0,0,0,0
ㅋㅋ하느님께 기도 드리면 안걸리는 줄 알나보네 ㅋㅋ 바보들~,1626,화자2,"혐오,비난",1,0,0,0,1,0,0,0
ㅋㅋ종교 무의미한 거 코로나 덕분에 증명 지대로 하죠~~,1626,화자1,"혐오,비난",1,0,0,0,1,0,0,0
가방 뭔가 심심했는데 나눔해준 리본 덕분에 예쁘게 다니는 중^^,1627,화자1,비도덕 아님,0,0,0,0,0,1,0,0
뇌가 없냐? 세월호 리본을 무슨 장식용으로 써?,1627,화자2,비난,0,0,0,0,1,0,0,0
ㅋㅋ그게 왜? 길가다보니 공짜로 나눠주더만;; 솔직히 난 세월호보 뭐고 별로 관심없음,1627,화자1,비난,0,0,0,0,1,0,0,0
"저 남자 인상이 왜케 험악해? 범죄자 같아,,,",1628,화자1,혐오,1,0,0,0,0,0,0,0
관상은 과학이라잖아. 백퍼 전과자일껄?,1628,화자2,비난,0,0,0,0,1,0,0,0
"그치,,? 무서우니까 말걸지 말고 피해다니자",1628,화자1,비난,0,0,0,0,1,0,0,0
이번 정부는 일 잘못되면 감정에 호소하는거 노답,1629,화자1,비난,0,0,0,0,1,0,0,0
문제는 감정에 호소해도 울림이 없다는거 ;;,1629,화자2,비난,0,0,0,0,1,0,0,0
"감정연기도 한두번이지 더는 못속아주겠음,,",1629,화자1,비난,0,0,0,0,1,0,0,0
"넌 참 볼수록 띨띨해보인다,,,",1630,화자1,비난,0,0,0,0,1,0,0,0
뭐 띨띨?? 그렇게 말하는 너는 사회화가 덜 된듯,1630,화자2,비난,0,0,0,0,1,0,0,0
왜 버럭해? ㅋㅋ띨띨하다니까 찔려??,1630,화자1,비난,0,0,0,0,1,0,0,0
우리나라 선수들 도쿄 올림픽에서 뭐한거냐,1631,화자1,비난,0,0,0,0,1,0,0,0
진짜 저번보다 성적 너무 안좋네;;,1631,화자2,비난,0,0,0,0,1,0,0,0
저럴꺼면 동네 대회나 나가지 올림픽까지 나가서 나라망신 다시키네,1631,화자1,비난,0,0,0,0,1,0,0,0
저 할머니 옷 좀 봐;,1632,화자1,비도덕 아님,0,0,0,0,0,1,0,0
옷 헤져서 빵구 다보이고 좀 흉하다;;,1632,화자2,비난,0,0,0,0,1,0,0,0
나 늙은 몸 보기 싫은데 누가 좀 가려줘라,1632,화자1,비난,0,0,0,0,1,0,0,0
여기 냄새 나지 않냐?,1633,화자1,비도덕 아님,0,0,0,0,0,1,0,0
그거 니 인중냄새임 ㅋㅋㅋㅋ,1633,화자2,비난,0,0,0,0,1,0,0,0
어휴 좀 씻고 다녀라 그러니까 주변에 사람이없지;,1633,화자2,비난,0,0,0,0,1,0,0,0
와 저 여자 앞뒤가 똑같아 ㅋㅋㅋㅋㅋ,1634,화자1,"비난,선정",0,1,0,0,1,0,0,0
무슨 가슴이 저렇게 납작하냐,1634,화자2,"비난,선정",0,1,0,0,1,0,0,0
벗겨 놓으면 등이랑 앞이랑 구분 못하겠네;;,1634,화자1,"비난,선정",0,1,0,0,1,0,0,0
어제 남자친구랑 하는데 거기가 너무 작은거 같아;,1635,화자1,"비난,선정",0,1,0,0,1,0,0,0
진짜 한남들은 거기가 작아서 그런지 성격도 옹졸함 ㅋㅋ,1635,화자2,"비난,선정",0,1,0,0,1,0,0,0
ㅇㅈ 확대수술좀 하고 그러면 안되나 너무 쪽팔려,1635,화자1,"비난,선정",0,1,0,0,1,0,0,0
못생긴 애들은 히잡쓰고 다니게 해야해,1636,화자1,비난,0,0,0,0,1,0,0,0
인정 걸어다니면서 못생긴 애들 보면 속에서 화가난다,1636,화자2,비난,0,0,0,0,1,0,0,0
저런 애들 낳은 부모도 같이 법적으로 처벌해야 하는거 아니냐,1636,화자1,비난,0,0,0,0,1,0,0,0
저 가방 완전 비싼거 아니야??,1637,화자1,비도덕 아님,0,0,0,0,0,1,0,0
얼굴이랑 가방이랑 어울리지가 않네,1637,화자2,비난,0,0,0,0,1,0,0,0
ㅋㅋㅋ 저렇게 돈이라도 써야 관심가져주지,1637,화자1,비난,0,0,0,0,1,0,0,0
저 남자 진짜 못생겼다;;,1638,화자1,비난,0,0,0,0,1,0,0,0
여자는 괜찮은데 왜 저런 사람이랑 같이 있지??,1638,화자2,비난,0,0,0,0,1,0,0,0
여자가 꽃뱀인가 나 같으면 진짜 혀 깨물었다 ㅋㅋㅋㅋ,1638,화자1,비난,0,0,0,0,1,0,0,0
저 남자들 손잡고 걷는거 같은데?,1639,화자1,비도덕 아님,0,0,0,0,0,1,0,0
와 게이들인가 진짜 더럽다;;,1639,화자2,혐오,1,0,0,0,0,0,0,0
게이들은 진짜 법으로 사형시켜야 돼,1639,화자1,"혐오,폭력",1,0,0,0,0,0,1,0
저 앞에 여자 도축장에서 도망친거 같은데,1640,화자1,비난,0,0,0,0,1,0,0,0
손봐봐 타자치면 두개씩 눌릴 듯 ㅋㅋㅋㅋ,1640,화자2,비난,0,0,0,0,1,0,0,0
저 여자 사는 집은 식량 걱정은 없겠다,1640,화자1,비난,0,0,0,0,1,0,0,0
여경들은 왜 뽑는건지 모르겟네,1641,화자1,비난,0,0,0,0,1,0,0,0
진짜 남자에 비해서 신체 능력도 떨어지는게 필요한 이유를 모르겠네,1641,화자2,비난,0,0,0,0,1,0,0,0
남자 경찰들 여자들 보면서 다니라고 뽑은 듯,1641,화자1,비난,0,0,0,0,1,0,0,0
저 나이에 버스타고 다니는거 부끄럽지도 않나,1642,화자1,비난,0,0,0,0,1,0,0,0
딱보면 모르겠냐 막노동하게 생겼자나,1642,화자2,비난,0,0,0,0,1,0,0,0
ㅋㅋㅋㅋ 진짜 능력도 없는거 엄청 티내네,1642,화자1,비난,0,0,0,0,1,0,0,0
정치인들 사회들 약자 편이척 자기 이익 챙기는거 역겨움,1643,화자1,혐오,1,0,0,0,0,0,0,0
위안부 할머니들 등쳐먹은거 보면 각 나오지 뭐,1643,화자2,혐오,1,0,0,0,0,0,0,0
늙어서 아무것도 할줄 모르는 할머니들 상대로 그런짓거리 한게 진짜 최악이다  ㅜㅜ,1643,화자1,혐오,1,0,0,0,0,0,0,0
"기업 아들이 마약+폭행이라,,,",1644,화자1,범죄,0,0,1,0,0,0,0,0
지 아빠 하던짓 똑같이 따라하네,1644,화자2,비난,0,0,0,0,1,0,0,0
얼마안가서 조만간 저 기업도 망하겠다,1644,화자1,비난,0,0,0,0,1,0,0,0
그거 들었어? 쟤 밤에는 술집에서 일한대,1645,화자1,비난,0,0,0,0,1,0,0,0
"헐 앞에선느 깨끗한 척 순수한척 하더니,,,,",1645,화자2,비난,0,0,0,0,1,0,0,0
남자들 앞에서 살살 눈웃음 칠 때부터 알아봤다,1645,화자1,비난,0,0,0,0,1,0,0,0
나 어제 성매매 업소 갔다 왔다 ㅋㅋ,1646,화자1,"범죄,선정",0,1,1,0,0,0,0,0
오~~ 좋디??,1646,화자2,선정,0,1,0,0,0,0,0,0
ㅋㅋ 몸매가 죽이긴 하더라 ~ 근데 동남아 사람이라 쫌 별로;;,1646,화자1,"차별,선정",0,1,0,0,0,0,0,1
20대 카푸어들 진짜 허세만 많고 너무 싫다,1647,화자1,비난,0,0,0,0,1,0,0,0
"외제차 끌고 다니면서 돈 많은 척 여자나 꼬시는 거짓 인생,,,",1647,화자2,비난,0,0,0,0,1,0,0,0
밤되면 반지하 가서 컵라면 먹을꺼 생각하니까 불쌍 ㅋㅋ,1647,화자1,비난,0,0,0,0,1,0,0,0
길거리에 쓰레기 버리는 인간들은 생각이 있는거냐?,1648,화자1,비난,0,0,0,0,1,0,0,0
니가 못사는 동네 살아서 그런거임 ㅋㅋㅋㅋㅋ,1648,화자2,비난,0,0,0,0,1,0,0,0
너네 동네는 하층민들만 살아서 냄새나자나 ㅎㅎ,1648,화자2,비난,0,0,0,0,1,0,0,0
무슨 무상급식이야? 초등학생정도 됐으면 돈 내고 밥을 먹어야지,1649,화자1,비난,0,0,0,0,1,0,0,0
"무상 급식 줘도 맛없다고 난리, 안주면 돈없다고 난리",1649,화자2,비난,0,0,0,0,1,0,0,0
하여튼 맘충들 지들이 3끼 밥차리는건 싫으면서 만족이란 걸 못해요;;,1649,화자1,비난,0,0,0,0,1,0,0,0
코로나 걸리면 아이큐 7씩 떨어진대,1650,화자1,비도덕 아님,0,0,0,0,0,1,0,0
헐 진짜? 우리과애들 싹 다 코로나 한번씩 걸리면 딱이네,1650,화자2,비난,0,0,0,0,1,0,0,0
그럼 내가 과탑할 수 있을 꺼 아니야 ㅋㅋ,1650,화자2,비난,0,0,0,0,1,0,0,0
뭐라고 말하는지 이해가 안돼,1651,화자1,비도덕 아님,0,0,0,0,0,1,0,0
아 답답하게 왜케 말귀를 못알아 쳐먹냐,1651,화자2,비난,0,0,0,0,1,0,0,0
아이큐 한자리인 곤충이랑 대화하는 것도 아니고,1651,화자2,비난,0,0,0,0,1,0,0,0
민식이 법부터 왜케 뻘짓거리인 법을 많이 만들지,1652,화자1,비난,0,0,0,0,1,0,0,0
애들 안뛰어다니게 교육을 시켜야지 무슨 차를 단속해;;,1652,화자2,비난,0,0,0,0,1,0,0,0
솔직히 애들이 차로 와서 부딪히는 거 아니야? ㅋㅋ,1652,화자1,비난,0,0,0,0,1,0,0,0
이국주 진짜 싫다. 혐오스러워,1653,화자1,혐오,1,0,0,0,0,0,0,0
걔는 뚱뚱한건 그렇다 치는데 나대는게 더 싫음,1653,화자2,혐오,1,0,0,0,0,0,0,0
방송에서 지방 흔들면서 춤추는데 진짜 역겹더라,1653,화자1,혐오,1,0,0,0,0,0,0,0
남페미는 백퍼 성범죄자 아니면 게이다.,1654,화자1,"비난,혐오",1,0,0,0,1,0,0,0
"인정. 같은 성, 남자편을 들어야지 어디서 여자편을 들어?",1654,화자2,비난,0,0,0,0,1,0,0,0
남자들 사이에서 도태된 애들이 남페미 하는거지 뭐 ㅋㅋ,1654,화자1,비난,0,0,0,0,1,0,0,0
솔직히 남페미 중에는 그냥 여자랑 친해지고 싶어서 페미 인척 하는 사람도 있을 듯,1655,화자1,비난,0,0,0,0,1,0,0,0
인정 ㅋㅋ 남자들이랑 어울리는 것보다 여자들이랑 어울리는게 이득이긴 하지,1655,화자2,비난,0,0,0,0,1,0,0,0
ㅋㅋ남자들 여자 밝히는 속셈이야 뻔하지,1655,화자1,비난,0,0,0,0,1,0,0,0
카페에서는 좀 조용히 좀 해,1656,화자1,비난,0,0,0,0,1,0,0,0
왜 말하는게 끊고 난리야 짜증나게?,1656,화자2,비난,0,0,0,0,1,0,0,0
너 같이 개념 없는 애들은 밖을 나오면 안될듯,1656,화자1,비난,0,0,0,0,1,0,0,0
누드모델 보면서 예술가라고 하는거 역겹다;;,1657,화자1,"혐오,선정",1,1,0,0,0,0,0,0
나도 예술가라고 하면 여자 알몸 볼 수 있냐 ㅋㅋ,1657,화자2,"비난,선정",0,1,0,0,1,0,0,0
넌 얼굴 갈려서 아무도 모델 안해줄듯,1657,화자3,비난,0,0,0,0,1,0,0,0
쟤네 지금 모텔에서 나오는거야?,1658,화자1,비도덕 아님,0,0,0,0,0,1,0,0
대낮부터 부끄럽지도 않나;;,1658,화자2,비난,0,0,0,0,1,0,0,0
저러다 여자 임신시켜서 인생 꼬여 봐야하는데 ㅋㅋㅋ,1658,화자1,비난,0,0,0,0,1,0,0,0
저 사람 어깨 좁은 것 좀 봐,1659,화자1,비도덕 아님,0,0,0,0,0,1,0,0
얼굴도 큰데 어깨도 좁아서 무슨 면봉인줄 ㅋㅋ,1659,화자2,비난,0,0,0,0,1,0,0,0
말라 비틀어진게 말린 채소같이 생김 ㅋㅋ,1659,화자1,비난,0,0,0,0,1,0,0,0
요즘 케이크 하나에 무슨 2만원이 넘냐,1660,화자1,비도덕 아님,0,0,0,0,0,1,0,0
특히 파리바게트 맛도 없는데 가격만 더럽게 비싸고 최악임 ㅠ,1660,화자2,비난,0,0,0,0,1,0,0,0
가짜로 불매운동 한번 해야 가격 확 내리려나? ㅋㅋ,1660,화자1,비난,0,0,0,0,1,0,0,0
요즘 누가 핸드폰 갤럭시 쓰냐~?,1661,화자1,비도덕 아님,0,0,0,0,0,1,0,0
ㅋㅋ 갤럭시 찐따들만 쓰는 거 아니야?,1661,화자2,비난,0,0,0,0,1,0,0,0
ㅋㅋ 아이폰이 더 비싸니까 갤럭시는 거지들만 쓰는거지~,1661,화자1,비난,0,0,0,0,1,0,0,0
복학생들은 학교 오지말고 온라인으로 수업들으면 안되냐,1662,화자1,비난,0,0,0,0,1,0,0,0
인정 아싸같이 어울리지도 못하면서 왜 낄려고하지,1662,화자2,비난,0,0,0,0,1,0,0,0
제발 강의들을 _ 옆에서 말걸지마 죽빵 치고 싶으니까,1662,화자1,"비난,폭력",0,0,0,0,1,0,1,0
인간적으로 못생겼으면 번호 달라고 하지마라,1663,화자1,비난,0,0,0,0,1,0,0,0
"인정 자기 주제를 알아야지, 거울 안보나",1663,화자2,비난,0,0,0,0,1,0,0,0
ㅋㅋ 또 거절하면 끝까지 질척거리는데 진짜 역겨움,1663,화자1,혐오,1,0,0,0,0,0,0,0
저기 커플들 길거리에서 뭐하는거냐,1664,화자1,비도덕 아님,0,0,0,0,0,1,0,0
진짜 상스럽네;;,1664,화자2,비난,0,0,0,0,1,0,0,0
저게 짐승들이지 사람들이냐,1664,화자1,비난,0,0,0,0,1,0,0,0
저 벌레만도 못한 것들이 뭐라고 하는거야?,1665,화자1,비난,0,0,0,0,1,0,0,0
ㅋㅋ누가 살충제좀 가져와라 싹다 박멸하게,1665,화자2,"비난,폭력",0,0,0,0,1,0,1,0
ㅋㅋ 매운맛좀 봐야 입 다물지 시끄러워죽겠어,1665,화자1,비난,0,0,0,0,1,0,0,0
우리 과 여자들 성형수술좀 하면 안되냐,1666,화자1,비난,0,0,0,0,1,0,0,0
쟤들얼굴 때문에 학교 오는게 괴롭다,1666,화자2,비난,0,0,0,0,1,0,0,0
안본 눈 사요~ 어떻게 하나같이 못생겼는지 ;;,1666,화자1,비난,0,0,0,0,1,0,0,0
옆에 앉아있는 장애인들 너무 불쾌하네,1667,화자1,혐오,1,0,0,0,0,0,0,0
장애인도 자식이라고 낳은 부모가 불쌍하다,1667,화자2,혐오,1,0,0,0,0,0,0,0
ㅋㅋ 너네 부모님도 너 낳고 불행해졌을 껄?,1667,화자3,비난,0,0,0,0,1,0,0,0
저 아저씨 초등학생 머리쓰다듬는 거봐,1668,화자1,비도덕 아님,0,0,0,0,0,1,0,0
소아성애자 아니야? 학생 머리를 왜 만져;;,1668,화자2,"범죄,비난",0,0,1,0,1,0,0,0
하여튼 남자들은 여자라면 나이 안가리고 만지고 보네 ;;더럽다,1668,화자1,비난,0,0,0,0,1,0,0,0
명문대가 뭐라고 비리까지 저지르냐,1669,화자1,비난,0,0,0,0,1,0,0,0
너같이 멍청한 딸 두면 부모님은 비리 저지르고 싶으실듯 ㅋㅋ,1669,화자2,비난,0,0,0,0,1,0,0,0
난 애초에 답도 없는 머리라 비리 저질러도 입학 못해 ㅋㅋ,1669,화자1,비난,0,0,0,0,1,0,0,0
저 사람 화장 한것좀 봐,1670,화자1,비도덕 아님,0,0,0,0,0,1,0,0
ㅋㅋㅋ가부키 분장한거 아니고 화장이였어?,1670,화자2,비난,0,0,0,0,1,0,0,0
쌩얼보면 토나올지도 몰라 ..ㅋㅋ,1670,화자1,비난,0,0,0,0,1,0,0,0
난 아프칸 난민들 받아준거 좀 싫음,1671,화자1,비난,0,0,0,0,1,0,0,0
맞아 그 사람들한테 들어간 세금이 얼마야,1671,화자2,비난,0,0,0,0,1,0,0,0
돈만 축내는 난민들 지네 나라로 추방시키자~,1671,화자1,비난,0,0,0,0,1,0,0,0
여자들 판치고 다니는거 보면 옛날이 그립다..,1672,화자1,비난,0,0,0,0,1,0,0,0
"옛날에는 밥하라면 밥해, 수청들라면 고분고분했는데..",1672,화자2,비난,0,0,0,0,1,0,0,0
요즘 여자들은 하는 것도 없으면서 기만 세가지고 별로야~,1672,화자1,비난,0,0,0,0,1,0,0,0
생산직들 인권이다 뭐다 시위하는거 어이없지 않냐,1673,화자1,비난,0,0,0,0,1,0,0,0
무능력자들 일 시켜주는것만으로도 고마워 해야지 배가 불렀네;;,1673,화자2,비난,0,0,0,0,1,0,0,0
공부는 하기 싫고 대우는 받고 싶고 아주 도둑놈 심보야~,1673,화자1,비난,0,0,0,0,1,0,0,0
나 어제 소개팅에서 마기꾼 만남,1674,화자1,비난,0,0,0,0,1,0,0,0
완전 짜증났겠_ㅋㅋ 마스크 사기꾼들 제발 사기좀 그만 쳐ㅠㅠ,1674,화자2,비난,0,0,0,0,1,0,0,0
마스크 벗었는데 무슨 불독인줄 턱이 너무 크더라 ;;ㅋㅋ,1674,화자1,비난,0,0,0,0,1,0,0,0
저 여자 가슴수술 했나봐?,1675,화자1,비도덕 아님,0,0,0,0,0,1,0,0
수술 하면 뭐하냐 얼굴이 핵 맞았는데 ㅋㅋ,1675,화자2,비난,0,0,0,0,1,0,0,0
ㅋㅋㅋㅋ몸보고 사귀는 남자들은 좋아하겠지~~,1675,화자1,선정,0,1,0,0,0,0,0,0
헐 저 사람 머리 탈모 심하다,1676,화자1,비난,0,0,0,0,1,0,0,0
한 열가닥 밖에 없는 것 같은데 ㅋㅋㅋㅋ좀 불쌍,1676,화자2,비난,0,0,0,0,1,0,0,0
탈모는 유전이라는데 자식이 더 불쌍하다 ㅉ,1676,화자1,비난,0,0,0,0,1,0,0,0
우리 시어머니 입맛 까다로운거 맞추기 힘들다..,1677,화자1,비도덕 아님,0,0,0,0,0,1,0,0
"다 늙어서 미각도 둔할텐데 노인네들 왜케 식탐이 많은지,,,",1677,화자2,"혐오,비난",1,0,0,0,1,0,0,0
"내말이,, 늙었으면 주는 대로 먹을것이지 확 굶겨버릴까보다",1677,화자1,"혐오,범죄",1,0,1,0,0,0,0,0
수시로 학교 들어온 애들 너무 수준 저급하네..,1678,화자1,비난,0,0,0,0,1,0,0,0
옆에서 같이 강의 듣는데 뇌 텅텅 빈거 티남,1678,화자2,비난,0,0,0,0,1,0,0,0
아무래도 뇌 대신 우동사리가 든듯 ㅋㅋ,1678,화자1,비난,0,0,0,0,1,0,0,0
저 정치인 발언 왜 저래,1679,화자1,비난,0,0,0,0,1,0,0,0
마인드가 길거리에 버려진 똥 묻은 휴지보다 못하다 ~,1679,화자2,비난,0,0,0,0,1,0,0,0
에라이~ 발톱 때보다 못한놈,1679,화자1,비난,0,0,0,0,1,0,0,0
군인들 못돌아다니게 하면 안되나,1680,화자1,비난,0,0,0,0,1,0,0,0
무슨 저것들이 군인이야 그냥 나라지키는 개지;,1680,화자2,비난,0,0,0,0,1,0,0,0
개는 충성심이라도 있지 저것들은 시키는 것도 제대로 못하잖아,1680,화자1,비난,0,0,0,0,1,0,0,0
무당도 하나의 정신병 아니야? ㅋ,1681,화자1,비난,0,0,0,0,1,0,0,0
돈 벌려고 쇼하는 거지뭐 귀신은 무슨 ㅋㅋ,1681,화자2,비난,0,0,0,0,1,0,0,0
무당들 싹 다 정신병원에 쳐 넣어야 한다니까 ㅋㅋ,1681,화자1,비난,0,0,0,0,1,0,0,0
우리 아빠 진짜 한남인듯,1682,화자1,비난,0,0,0,0,1,0,0,0
헐 왜? 완전 틀딱임??,1682,화자2,비난,0,0,0,0,1,0,0,0
"웅 ㅋㅋ 지손으로 밥도 못차려먹고, 자기 말에 토달면 _리는 시늉하는데 다음날 아침에 못깨어났으면 좋겠음 ㅋㅋ",1682,화자1,"비난,폭력",0,0,0,0,1,0,1,0
시험장에 무슨 옷을 저렇게 입고오냐,1683,화자1,비난,0,0,0,0,1,0,0,0
시험을 보러 온거야 남자를 꼬시러 온거야?,1683,화자2,비난,0,0,0,0,1,0,0,0
옷도 없고 머리도 없나보네~ㅋㅋ,1683,화자1,비난,0,0,0,0,1,0,0,0
의자에 발 올려놓고 뭐하는거냐?,1684,화자1,비도덕 아님,0,0,0,0,0,1,0,0
어휴 공공장소에서는 예의좀 지키지...,1684,화자2,비난,0,0,0,0,1,0,0,0
가정교육 못받은거 티네네,1684,화자1,비난,0,0,0,0,1,0,0,0
